José Ortega y Gasset visited Husserl at Freiburg in 1934 .	1934 besuchte José Ortega y Gasset Husserl in Freiburg .	José Ortega y Gasset besuchte Husserl in Freiburg im Jahr 1934 .	0.33
favorite fish include cod , salmon , winter flounder , haddock , striped bass , pollock , hake , bluefish , and , in southern New England , Tautog .	zu den Lieblingsfischen gehören Kabeljau , Lachs , Winterflounder , Schellfisch , gestreifter Bass , Pollock , Seehecht , Rotbarsch und in Südengland Tautog .	zu den Lieblingsfischen zählen Kabeljau , Lachs , Winterflunder , Schellfisch , Wolfsbarsch , Pollock , Seehecht , Bluefish und im Süden Neuenglands Tautog .	0.32
the Hornblende Schist continues south of the South Pier for 50 yd where there is a fault boundary with the serpentine .	die Hornblende Schist weiter südlich des South Pier für 50 yd , wo es eine Fehlergrenze mit der Serpentin .	der Hornblende-Schist setzt sich 50 m südlich des South Pier fort , wo sich eine Verwerfungsgrenze mit der Serpentine befindet .	0.57
) , Kluwer academic / Plenum publishers , New York , 1999	) , Kluwer akademischen / Plenum Herausgeber , New York , 1999	) , Kluwer Academic / Plenum Publisher , New York , 1999	0.17
in another , he claimed that Sharmell had " molested " him and " fondled his privates " .	in einem anderen behauptete er , Sharmell habe ihn " belästigt " und " seine Privaten gefesselt " .	in einem anderen Fall behauptete er , Sharmell habe ihn " belästigt " und " seine Privaten verwöhnt " .	0.10
in 1905 , the Qing sent Zhao Erfeng to Tibet to retaliate against rebellions .	1905 schickte der Qing Zhao Erfeng nach Tibet , um sich gegen Rebellen zu rächen .	1905 sandt der Qing Zhao Erfeng nach Tibet , um sich an den Aufständen zu rächen .	0.24
protest against atrocities against Swami Ramdev and his supporters	Protest gegen Gräueltaten gegen Swami Ramdev und seine Anhänger	Protest gegen Gräueltaten gegen Swami Ramdev und seine Anhänger	0.00
an enraged Gordon barely restrains himself from killing Joker , shooting the Joker 's knee instead .	ein wütender Gordon hält sich kaum davon ab , Joker zu töten und stattdessen auf das Knie des Jokers zu schießen .	ein wütender Gordon kann sich kaum zurückhalten , Joker zu töten und schießt stattdessen auf das Knie des Jokers .	0.30
the Mughals also moved to conquer Sindh in the lower Indus valley .	die Moguln zog auch nach Sindh im unteren Indus-Tal zu erobern .	die Moguln zogen auch um Sindh im unteren Industal zu erobern .	0.25
18 for 2006 , joining fellow rookie teammate Denny Hamlin .	18 für 2006 , schließt sich Kollegen Rookie Teamkollegen Denny Hamlin .	18 für 2006 , mit dabei sein Rookie-Teamkollege Denny Hamlin .	0.45
women like Sweet Emma Barrett , who performed in the Original Tuxedo Orchestra toured domestically and internationally .	Frauen wie Sweet Emma Barrett , die im Original Tuxedo Orchestra auftraten , tourten national und international .	Frauen wie die süße Emma Barrett , die im Original Tuxedo Orchestra auftrat , tourten im In- und Ausland .	0.30
Nicholas Johnson , a Royal Ballet dancer , portrayed the schizophrenic Nijinsky .	Nicholas Johnson , ein Royal Ballet Tänzer , porträtierte den schizophrenen Nijinsky .	Nicholas Johnson , ein königlicher Balletttänzer , porträtierte den schizophrenen Nijinsky .	0.25
early adopters of qigong eschewed its religious overtones and regarded qigong principally as a branch of Chinese medicine .	die frühen Adoptiveln des Qigong verzichteten auf ihre religiösen Obertöne und betrachteten Qigong hauptsächlich als einen Zweig der chinesischen Medizin .	frühe Anwender von Qigong mieden seine religiösen Untertöne und betrachteten Qigong hauptsächlich als Zweig der chinesischen Medizin .	0.50
the great American impresario Michael B. Leavitt handled Herrmann 's American and Mexican contracts .	der große amerikanische Impresario Michael B. Leavitt hat Herrmanns amerikanische und mexikanische Verträge bearbeitet .	der große amerikanische Impresario Michael B. Leavitt kümmerte sich um die amerikanischen und mexikanischen Verträge von Herrmann .	0.44
effective as of the spring of 2013 , the Pennsylvania Department of Education discontinued administering the PSSAs to 11th graders .	mit Wirkung zum Frühjahr 2013 hat das Pennsylvania Department of Education die Verwaltung der PSSA an die 11. Klasse eingestellt .	wirksam ab dem Frühjahr 2013 , hat das Bildungsministerium von Pennsylvania die Verwaltung der PSSAs für Schüler der 11. Klasse eingestellt .	0.55
Honduran police confirmed the presence of Venezuelans , Cubans and Nicaraguans .	honduranische Polizei bestätigte die Anwesenheit von Venezolanern , Kubanern und Nicaraguanern .	die honduranische Polizei bestätigte die Anwesenheit von Venezolanern , Kubanern und Nicaraguanern .	0.08
in the 1270s they regained Trogir , Split and Šibenik .	in den 1270er Jahren wurden Trogir , Split und Šibenik wiedergewonnen .	in den 1270er Jahren eroberten sie Trogir , Split und Šibenik zurück .	0.23
the squadron departed Groix Roads , near Lorient , France on 19 June to escort a convoy of merchantmen to Bordeaux and other French ports .	die Staffel verließ am 19. Juni die Groix Roads in der Nähe von Lorient , Frankreich , um einen Konvoi von Handelsleuten nach Bordeaux und anderen französischen Häfen zu begleiten .	das Geschwader verließ Groix Roads in der Nähe von Lorient , Frankreich , am 19. Juni , um einen Konvoi von Kaufleuten nach Bordeaux und anderen französischen Häfen zu eskortieren .	0.23
the civil parish of Navenby straddles the old Roman Ermine Street , known locally as High Dyke .	die Stadtgemeinde Navenby erstreckt sich über die alte römische Ermine Street , die vor Ort als High Dyke bekannt ist .	die Gemeinde Navenby liegt an der alten römischen Hermelinstraße , die vor Ort als High Dyke bekannt ist .	0.47
during the Second Mexican War , the U.S. experimented with Gatling guns .	während des Zweiten Mexikanischen Krieges experimentierten die USA mit Gatling-Gewehre .	während des Zweiten Mexikanischen Krieges experimentierten die USA mit Gatling-Kanonen .	0.09
Cott noted little detectable discrepancy in the mating habits of Nile crocodiles and American alligators .	Cott bemerkte wenig erkennbare Diskrepanz in den Paarungsgewohnheiten von Nilkrokodilen und amerikanischen Alligatoren .	Cott bemerkte kaum erkennbare Unterschiede in den Paarungsgewohnheiten von Nilkrokodilen und amerikanischen Alligatoren .	0.14
after the Breakup of Yugoslavia in the early 1990s many more Macedonians began to immigrate to Sydney .	nach dem Zerfall Jugoslawiens Anfang der 1990er Jahre begannen viele weitere Mazedonier nach Sydney auszuwandern .	nach dem Zerfall Jugoslawiens in den frühen neunziger Jahren wanderten immer mehr Mazedonier nach Sydney aus .	0.53
Robbie Ross , Jr. and Jonathan Aro saved the bullpen , by pitching 3 innings each but giving up four more runs .	Robbie Ross , Jr. und Jonathan Aro retteten den Stift , indem sie jeweils 3 Innings aufbauten , aber vier weitere Läufe aufgeben .	Robbie Ross Jr. und Jonathan Aro retteten den Bullpen , indem sie jeweils drei Innings platzierten , aber vier weitere Runs aufgaben .	0.26
for coronation he summoned " Dadiani , Gurieli , Sharvashidze and Gelovani " , but headed with Vameq II Dadiani .	zur Krönung rief er " Dadiani , Gurieli , Sharvashidze und GELOVANI " , leitete aber Vameq II Dadiani .	zur Krönung rief er " Dadiani , Gurieli , Sharvashidze und GELOVANI " , leitete aber mit Vameq II Dadiani .	0.05
Tim Burton directed the film , and Johnny Depp , finally realizing one of his childhood fantasies , starred as Barnabas Collins .	Tim Burton inszenierte den Film , und Johnny Depp , der schließlich eine seiner Kindheitsphantasien realisierte , spielte als Barnabas Collins .	Tim Burton war Regisseur des Films , und Johnny Depp , der endlich eine seiner Kindheitsträume verwirklichte , spielte Barnabas Collins .	0.36
South Africa blamed SWAPO for instigating the strike and subsequent unrest .	Südafrika beschuldigte SWAPO für die Anstiftung des Streiks und die anschließenden Unruhen .	Südafrika beschuldigte SWAPO , den Streik und die darauf folgenden Unruhen angestiftet zu haben .	0.67
the Moroccans subsequently encircled the Portuguese siege camp and starved it to submission .	die Marokkaner umzingelten anschließend das portugiesische Belagerungslager und verhungerten es bis zur Unterwerfung .	die Marokkaner umzingelten daraufhin das portugiesische Belagerungslager und hungerten es zur Aufgabe .	0.31
kittiwakes , cormorants and shags can be seen on the cliffs , while farm birds such as the yellowhammer frequent the gorse .	auf den Klippen sind Kittiwakes , Kormorane und Tücher zu sehen , während Hofvögel wie der Gelbhämmer die Schlucht häufig befahren .	auf den Klippen sind Dreizehenmöwen , Kormorane und Nörgler zu sehen , während Nutzvögel wie der Goldammer den Stechginster bevölkern .	0.38
on January 6 , 1527 , the nobility from Slavonia sided with John Zápolya .	am 6. Januar 1527 stand der slawische Adel auf der Seite von Johannes Zápolya .	am 6. Januar 1527 , stellte sich der Adel aus Slawonien mit John Zápolya zusammen .	0.56
Kenta Maeda allowed only one hit in six innings with seven strikeouts .	Kenta Maeda erlaubte nur einen Hit in sechs Innings mit sieben Strikeouts .	Kenta Maeda erlaubte nur einen Treffer in sechs Innings mit sieben Strikeouts .	0.08
D.BUCKMAN , The Dictionary of Artists in Britain Since 1945 , Art Dictionaries ltd , Bristol , 1998 .	D.BUCKMAN , The Dictionary of Artists in Britain Seit 1945 , Art Dictionaries ltd , Bristol , 1998 .	D. Buckman , The Dictionary of Artists in Britain Since 1945 , Art Dictionaries ltd , Bristol , 1998 .	0.15
real Time Relativity The Australian National University .	Real Time Relativity Die Australian National University .	Echtzeit-Relativitätstheorie die Australian National University .	0.67
Aulus Cornelius M. f . L. n . cossus , consul in 428 and consular tribune in 426 BC , slew Lars Tolumnius , King of Veii , to claim the spolia opima .	Aulus Cornelius M. f. L. n. Cossus , Konsul 428 und konsularische Tribüne 426 v. Chr. , tötete Lars Tolumcigus , König von Veii , um die spolia opima zu beanspruchen .	Aulus Cornelius M. f. N. L. Cossus , Konsul im Jahr 428 und Konsulatstribüne im Jahr 426 v. Chr. , erschlug Lars Tolumnius , König von Veii , um die Spolia opima zu beanspruchen .	0.29
unfortunately Slicht Othrusa only survives as a fragment .	leider überlebt Slicht Othrusa nur als Fragment .	leider überlebt Slicht Othrusa nur als Fragment .	0.00
examples of popular Irish cuisine include boxty , Colcannon , coddle , stew , and bacon and cabbage .	Beispiele für beliebte irische Küche sind Boxty , Colcannon , Coddle , Eintopf und Speck und Kohl .	Beispiele für beliebte irische Küche sind Boxty , Colcannon , Coddle , Eintopf sowie Speck und Kohl .	0.06
former rebels attacked the railroads as symbols of threatening centralization .	ehemalige Rebellen griffen die Eisenbahnen als Symbole der drohenden Zentralisierung an .	ehemalige Rebellen griffen die Eisenbahnen als Zeichen einer drohenden Zentralisierung an .	0.17
Callas auditioned with " Ocean , Thou Mighty Monster " from Weber 's Oberon .	Callas sprach mit " Ocean , You Mighty Monster " aus Webers Oberon vor .	Callas spielte mit " Ocean , Thou Mighty Monster " von Webers Oberon vor .	0.20
in defiance of the instructions of his superiors , Rivière stormed the citadel of Hanoi on 25 April 1882 .	trotz der Anweisungen seiner Vorgesetzten stürmte Rivière am 25. April 1882 die Zitadelle von Hanoi .	trotz der Anweisungen seiner Vorgesetzten , stürmten Rivière die Zitadelle von Hanoi am 25. April 1882 .	0.18
; readings from Autobiography of Alice B. Toklas , Bee Time Vine , and more .	; Lesungen aus der Autobiographie von Alice B. Toklas , Bienenzeitrebe , und mehr .	; Lesungen aus der Autobiographie von Alice B. Toklas , Bee Time Vine und mehr .	0.19
Cooke initially made a telegraph with a clockwork detent mechanism operating electromagnets .	Cooke machte zunächst einen Telegraph mit einem Uhrwerkdetentmechanismus , der Elektromagnete betätigte .	Cooke machte zunächst einen Telegraphen mit einem Uhrwerk-Rastmechanismus , der Elektromagnete betätigte .	0.15
this definition encompasses both nominal empires and neocolonialism .	diese Definition umfasst sowohl Nominalreiche als auch Neokolonialismus .	diese Definition umfasst sowohl Nominalreiche als auch Neokolonialismus .	0.00
shortly afterwards McNamara struck Tom Sheehy with his hurley after the latter had deliberately fouled him .	kurz darauf schlug McNamara Tom Sheehy mit seinem Hurley , nachdem dieser ihn bewusst getäuscht hatte .	kurz darauf schlug McNamara Tom Sheehy mit seinem Hurley , nachdem dieser ihn absichtlich gefoult hatte .	0.12
in 1928 Freud published a paper titled " Dostoevsky and Parricide " in which he investigated Dostoevsky 's own neuroses .	1928 veröffentlichte Freud ein Papier mit dem Titel " Dostojewski und Parrizid " , in dem er Dostojewskis eigene Neurosen untersuchte .	1928 veröffentlichte Freud einen Aufsatz mit dem Titel " Dostojewski und Vatermord " , in dem er Dostojewskis eigene Neurosen untersuchte .	0.14
however , with its 8200 rpm redline , the Rambler ran 112 mph at the Fontana dragstrip .	mit seiner 8200 U / min Rotlinie lief der Rambler jedoch 112 mph an der Fontana Dragstrip .	jedoch mit seinem 8200 U / min Redline lief der Rambler 112 Meilen pro Stunde am Fontana Dragstrip .	0.37
unlike a conditional noble , a familiaris remained in theory an independent landholder , only subjected to the monarch .	anders als ein bedingter Adliger blieb ein familiaris theoretisch ein unabhängiger Gutsbesitzer , nur dem Monarchen unterworfen .	im Gegensatz zu einem bedingten Adligen blieb ein Vertrauter theoretisch ein unabhängiger Landbesitzer , der nur dem Monarchen unterworfen war .	0.48
569 , appointing a Select Committee to investigate the Vice President .	569 Ernennung eines Engeren Ausschusses zur Untersuchung des Vizepräsidenten .	Ernennung eines Auswahlausschusses zur Untersuchung des Vizepräsidenten .	0.38
Anamull provoked a fight and killed two of the Meanies .	Anamull provozierte einen Kampf und tötete zwei der Meanies .	Anamull provozierte einen Kampf und tötete zwei der Meanies .	0.00
